,Month,NonRecreationVisitors,RecreationVisitors,UnitCode,UnitName,Year
0,1,0,4960,ABLI,Abraham Lincoln Birthplace NHP,2007
1,2,0,5877,ABLI,Abraham Lincoln Birthplace NHP,2007
2,3,0,9868,ABLI,Abraham Lincoln Birthplace NHP,2007
3,4,0,17900,ABLI,Abraham Lincoln Birthplace NHP,2007
4,5,0,21277,ABLI,Abraham Lincoln Birthplace NHP,2007
5,6,0,29353,ABLI,Abraham Lincoln Birthplace NHP,2007
6,7,0,37586,ABLI,Abraham Lincoln Birthplace NHP,2007
7,8,0,18805,ABLI,Abraham Lincoln Birthplace NHP,2007
8,9,0,24115,ABLI,Abraham Lincoln Birthplace NHP,2007
9,10,0,16434,ABLI,Abraham Lincoln Birthplace NHP,2007
10,11,0,10223,ABLI,Abraham Lincoln Birthplace NHP,2007
11,12,0,6552,ABLI,Abraham Lincoln Birthplace NHP,2007
12,1,0,5829,ABLI,Abraham Lincoln Birthplace NHP,2008
13,2,0,6911,ABLI,Abraham Lincoln Birthplace NHP,2008
14,3,0,10720,ABLI,Abraham Lincoln Birthplace NHP,2008
15,4,0,17829,ABLI,Abraham Lincoln Birthplace NHP,2008
16,5,0,26295,ABLI,Abraham Lincoln Birthplace NHP,2008
17,6,0,33817,ABLI,Abraham Lincoln Birthplace NHP,2008
18,7,0,29225,ABLI,Abraham Lincoln Birthplace NHP,2008
19,8,0,22166,ABLI,Abraham Lincoln Birthplace NHP,2008
20,9,0,21765,ABLI,Abraham Lincoln Birthplace NHP,2008
21,10,0,13747,ABLI,Abraham Lincoln Birthplace NHP,2008
22,11,0,8013,ABLI,Abraham Lincoln Birthplace NHP,2008
23,12,0,4087,ABLI,Abraham Lincoln Birthplace NHP,2008
24,1,0,4199,ABLI,Abraham Lincoln Birthplace NHP,2009
25,2,0,7313,ABLI,Abraham Lincoln Birthplace NHP,2009
26,3,0,11576,ABLI,Abraham Lincoln Birthplace NHP,2009
27,4,0,23545,ABLI,Abraham Lincoln Birthplace NHP,2009
28,5,0,23776,ABLI,Abraham Lincoln Birthplace NHP,2009
29,6,0,34697,ABLI,Abraham Lincoln Birthplace NHP,2009
30,7,0,39696,ABLI,Abraham Lincoln Birthplace NHP,2009
31,8,0,27303,ABLI,Abraham Lincoln Birthplace NHP,2009
32,9,0,26285,ABLI,Abraham Lincoln Birthplace NHP,2009
33,10,0,11521,ABLI,Abraham Lincoln Birthplace NHP,2009
34,11,0,7148,ABLI,Abraham Lincoln Birthplace NHP,2009
35,12,0,4052,ABLI,Abraham Lincoln Birthplace NHP,2009
36,1,0,3878,ABLI,Abraham Lincoln Birthplace NHP,2010
37,2,0,5167,ABLI,Abraham Lincoln Birthplace NHP,2010
38,3,0,8054,ABLI,Abraham Lincoln Birthplace NHP,2010
39,4,0,18178,ABLI,Abraham Lincoln Birthplace NHP,2010
40,5,0,19290,ABLI,Abraham Lincoln Birthplace NHP,2010
41,6,0,24308,ABLI,Abraham Lincoln Birthplace NHP,2010
42,7,0,29269,ABLI,Abraham Lincoln Birthplace NHP,2010
43,8,0,21939,ABLI,Abraham Lincoln Birthplace NHP,2010
44,9,0,22223,ABLI,Abraham Lincoln Birthplace NHP,2010
45,10,0,14265,ABLI,Abraham Lincoln Birthplace NHP,2010
46,11,0,6467,ABLI,Abraham Lincoln Birthplace NHP,2010
47,12,0,4084,ABLI,Abraham Lincoln Birthplace NHP,2010
48,1,0,2643,ABLI,Abraham Lincoln Birthplace NHP,2011
49,2,0,3647,ABLI,Abraham Lincoln Birthplace NHP,2011
50,3,0,7925,ABLI,Abraham Lincoln Birthplace NHP,2011
51,4,0,19339,ABLI,Abraham Lincoln Birthplace NHP,2011
52,5,0,16958,ABLI,Abraham Lincoln Birthplace NHP,2011
53,6,0,21492,ABLI,Abraham Lincoln Birthplace NHP,2011
54,7,0,26221,ABLI,Abraham Lincoln Birthplace NHP,2011
55,8,0,20223,ABLI,Abraham Lincoln Birthplace NHP,2011
56,9,0,20568,ABLI,Abraham Lincoln Birthplace NHP,2011
57,10,0,12889,ABLI,Abraham Lincoln Birthplace NHP,2011
58,11,0,6757,ABLI,Abraham Lincoln Birthplace NHP,2011
59,12,0,4906,ABLI,Abraham Lincoln Birthplace NHP,2011
60,1,0,3772,ABLI,Abraham Lincoln Birthplace NHP,2012
61,2,0,4920,ABLI,Abraham Lincoln Birthplace NHP,2012
62,3,0,11844,ABLI,Abraham Lincoln Birthplace NHP,2012
63,4,0,16608,ABLI,Abraham Lincoln Birthplace NHP,2012
64,5,0,18076,ABLI,Abraham Lincoln Birthplace NHP,2012
65,6,0,26021,ABLI,Abraham Lincoln Birthplace NHP,2012
66,7,0,25608,ABLI,Abraham Lincoln Birthplace NHP,2012
67,8,0,20010,ABLI,Abraham Lincoln Birthplace NHP,2012
68,9,0,18888,ABLI,Abraham Lincoln Birthplace NHP,2012
69,10,0,12490,ABLI,Abraham Lincoln Birthplace NHP,2012
70,11,0,6536,ABLI,Abraham Lincoln Birthplace NHP,2012
71,12,0,4742,ABLI,Abraham Lincoln Birthplace NHP,2012
72,1,0,4063,ABLI,Abraham Lincoln Birthplace NHP,2013
73,2,0,3518,ABLI,Abraham Lincoln Birthplace NHP,2013
74,3,0,10482,ABLI,Abraham Lincoln Birthplace NHP,2013
75,4,0,12302,ABLI,Abraham Lincoln Birthplace NHP,2013
76,5,0,19672,ABLI,Abraham Lincoln Birthplace NHP,2013
77,6,0,25736,ABLI,Abraham Lincoln Birthplace NHP,2013
78,7,0,28815,ABLI,Abraham Lincoln Birthplace NHP,2013
79,8,0,21662,ABLI,Abraham Lincoln Birthplace NHP,2013
80,9,0,21228,ABLI,Abraham Lincoln Birthplace NHP,2013
81,10,0,3930,ABLI,Abraham Lincoln Birthplace NHP,2013
82,11,0,8544,ABLI,Abraham Lincoln Birthplace NHP,2013
83,12,0,3976,ABLI,Abraham Lincoln Birthplace NHP,2013
84,1,0,2954,ABLI,Abraham Lincoln Birthplace NHP,2014
85,2,0,4645,ABLI,Abraham Lincoln Birthplace NHP,2014
86,3,0,9564,ABLI,Abraham Lincoln Birthplace NHP,2014
87,4,0,20110,ABLI,Abraham Lincoln Birthplace NHP,2014
88,5,0,31790,ABLI,Abraham Lincoln Birthplace NHP,2014
89,6,0,40058,ABLI,Abraham Lincoln Birthplace NHP,2014
90,7,0,45598,ABLI,Abraham Lincoln Birthplace NHP,2014
91,8,0,34672,ABLI,Abraham Lincoln Birthplace NHP,2014
92,9,0,24368,ABLI,Abraham Lincoln Birthplace NHP,2014
93,10,0,18777,ABLI,Abraham Lincoln Birthplace NHP,2014
94,11,0,5400,ABLI,Abraham Lincoln Birthplace NHP,2014
95,12,0,3328,ABLI,Abraham Lincoln Birthplace NHP,2014
96,1,0,3486,ABLI,Abraham Lincoln Birthplace NHP,2015
97,2,0,2625,ABLI,Abraham Lincoln Birthplace NHP,2015
98,3,0,6552,ABLI,Abraham Lincoln Birthplace NHP,2015
99,4,0,13507,ABLI,Abraham Lincoln Birthplace NHP,2015
100,5,0,15904,ABLI,Abraham Lincoln Birthplace NHP,2015
101,6,0,20274,ABLI,Abraham Lincoln Birthplace NHP,2015
102,7,0,23214,ABLI,Abraham Lincoln Birthplace NHP,2015
103,8,0,18854,ABLI,Abraham Lincoln Birthplace NHP,2015
104,9,0,16516,ABLI,Abraham Lincoln Birthplace NHP,2015
105,10,0,13930,ABLI,Abraham Lincoln Birthplace NHP,2015
106,11,0,8712,ABLI,Abraham Lincoln Birthplace NHP,2015
107,12,0,5031,ABLI,Abraham Lincoln Birthplace NHP,2015
108,1,0,5954,ABLI,Abraham Lincoln Birthplace NHP,2016
109,2,0,5721,ABLI,Abraham Lincoln Birthplace NHP,2016
110,3,0,13005,ABLI,Abraham Lincoln Birthplace NHP,2016
111,4,0,23676,ABLI,Abraham Lincoln Birthplace NHP,2016
112,5,0,23890,ABLI,Abraham Lincoln Birthplace NHP,2016
113,6,0,29233,ABLI,Abraham Lincoln Birthplace NHP,2016
114,7,0,52771,ABLI,Abraham Lincoln Birthplace NHP,2016
115,8,0,38461,ABLI,Abraham Lincoln Birthplace NHP,2016
116,9,0,21779,ABLI,Abraham Lincoln Birthplace NHP,2016
117,10,0,20274,ABLI,Abraham Lincoln Birthplace NHP,2016
118,11,0,11502,ABLI,Abraham Lincoln Birthplace NHP,2016
119,12,0,6229,ABLI,Abraham Lincoln Birthplace NHP,2016
120,1,0,4716,ABLI,Abraham Lincoln Birthplace NHP,2017
121,2,0,4918,ABLI,Abraham Lincoln Birthplace NHP,2017
122,3,0,17492,ABLI,Abraham Lincoln Birthplace NHP,2017
123,4,0,26788,ABLI,Abraham Lincoln Birthplace NHP,2017
124,5,0,27530,ABLI,Abraham Lincoln Birthplace NHP,2017
125,6,0,40216,ABLI,Abraham Lincoln Birthplace NHP,2017
126,7,0,44086,ABLI,Abraham Lincoln Birthplace NHP,2017
127,8,0,37215,ABLI,Abraham Lincoln Birthplace NHP,2017
128,9,0,31035,ABLI,Abraham Lincoln Birthplace NHP,2017
129,10,0,20685,ABLI,Abraham Lincoln Birthplace NHP,2017
130,11,0,10644,ABLI,Abraham Lincoln Birthplace NHP,2017
131,12,0,4255,ABLI,Abraham Lincoln Birthplace NHP,2017
132,1,0,5695,ABLI,Abraham Lincoln Birthplace NHP,2018
133,2,0,8486,ABLI,Abraham Lincoln Birthplace NHP,2018
134,3,0,17468,ABLI,Abraham Lincoln Birthplace NHP,2018
135,4,0,26548,ABLI,Abraham Lincoln Birthplace NHP,2018
136,5,0,33102,ABLI,Abraham Lincoln Birthplace NHP,2018
137,6,0,35569,ABLI,Abraham Lincoln Birthplace NHP,2018
138,7,0,47607,ABLI,Abraham Lincoln Birthplace NHP,2018
139,8,0,22124,ABLI,Abraham Lincoln Birthplace NHP,2018
140,9,0,29761,ABLI,Abraham Lincoln Birthplace NHP,2018
141,10,0,19638,ABLI,Abraham Lincoln Birthplace NHP,2018
142,11,0,11402,ABLI,Abraham Lincoln Birthplace NHP,2018
143,12,0,3564,ABLI,Abraham Lincoln Birthplace NHP,2018
144,1,0,1939,ABLI,Abraham Lincoln Birthplace NHP,2019
145,2,0,6534,ABLI,Abraham Lincoln Birthplace NHP,2019
146,3,0,14566,ABLI,Abraham Lincoln Birthplace NHP,2019
147,4,0,16496,ABLI,Abraham Lincoln Birthplace NHP,2019
148,5,0,24646,ABLI,Abraham Lincoln Birthplace NHP,2019
149,6,0,26854,ABLI,Abraham Lincoln Birthplace NHP,2019
150,7,0,37334,ABLI,Abraham Lincoln Birthplace NHP,2019
151,8,0,34816,ABLI,Abraham Lincoln Birthplace NHP,2019
152,9,0,32877,ABLI,Abraham Lincoln Birthplace NHP,2019
153,10,0,19425,ABLI,Abraham Lincoln Birthplace NHP,2019
154,11,0,15975,ABLI,Abraham Lincoln Birthplace NHP,2019
155,12,0,6764,ABLI,Abraham Lincoln Birthplace NHP,2019
156,1,0,6911,ABLI,Abraham Lincoln Birthplace NHP,2020
157,2,0,7406,ABLI,Abraham Lincoln Birthplace NHP,2020
158,3,0,12612,ABLI,Abraham Lincoln Birthplace NHP,2020
159,4,0,15092,ABLI,Abraham Lincoln Birthplace NHP,2020
160,5,0,21102,ABLI,Abraham Lincoln Birthplace NHP,2020
161,6,0,29111,ABLI,Abraham Lincoln Birthplace NHP,2020
162,7,0,37249,ABLI,Abraham Lincoln Birthplace NHP,2020
163,8,0,31290,ABLI,Abraham Lincoln Birthplace NHP,2020
164,9,0,29134,ABLI,Abraham Lincoln Birthplace NHP,2020
165,10,0,18615,ABLI,Abraham Lincoln Birthplace NHP,2020
166,11,0,12147,ABLI,Abraham Lincoln Birthplace NHP,2020
167,12,0,7472,ABLI,Abraham Lincoln Birthplace NHP,2020
168,1,0,6320,ABLI,Abraham Lincoln Birthplace NHP,2021
169,2,0,5192,ABLI,Abraham Lincoln Birthplace NHP,2021
170,3,0,15362,ABLI,Abraham Lincoln Birthplace NHP,2021
171,4,0,22592,ABLI,Abraham Lincoln Birthplace NHP,2021
172,5,0,28225,ABLI,Abraham Lincoln Birthplace NHP,2021
173,6,0,31901,ABLI,Abraham Lincoln Birthplace NHP,2021
174,7,0,36998,ABLI,Abraham Lincoln Birthplace NHP,2021
175,8,0,32611,ABLI,Abraham Lincoln Birthplace NHP,2021
176,9,0,29469,ABLI,Abraham Lincoln Birthplace NHP,2021
177,10,0,18016,ABLI,Abraham Lincoln Birthplace NHP,2021
178,11,0,13756,ABLI,Abraham Lincoln Birthplace NHP,2021
179,12,0,10746,ABLI,Abraham Lincoln Birthplace NHP,2021
180,1,0,5833,ABLI,Abraham Lincoln Birthplace NHP,2022
181,2,0,10174,ABLI,Abraham Lincoln Birthplace NHP,2022
182,3,0,16447,ABLI,Abraham Lincoln Birthplace NHP,2022
183,4,0,25848,ABLI,Abraham Lincoln Birthplace NHP,2022
184,5,0,30360,ABLI,Abraham Lincoln Birthplace NHP,2022
185,6,0,36056,ABLI,Abraham Lincoln Birthplace NHP,2022
186,7,0,36369,ABLI,Abraham Lincoln Birthplace NHP,2022
187,8,0,32346,ABLI,Abraham Lincoln Birthplace NHP,2022
188,9,0,31130,ABLI,Abraham Lincoln Birthplace NHP,2022
189,10,0,21857,ABLI,Abraham Lincoln Birthplace NHP,2022
190,11,0,12503,ABLI,Abraham Lincoln Birthplace NHP,2022
191,12,0,6784,ABLI,Abraham Lincoln Birthplace NHP,2022
192,1,0,7470,ABLI,Abraham Lincoln Birthplace NHP,2023
193,2,0,8750,ABLI,Abraham Lincoln Birthplace NHP,2023
194,3,0,15588,ABLI,Abraham Lincoln Birthplace NHP,2023
195,4,0,24682,ABLI,Abraham Lincoln Birthplace NHP,2023
196,5,0,27366,ABLI,Abraham Lincoln Birthplace NHP,2023
197,6,0,30116,ABLI,Abraham Lincoln Birthplace NHP,2023
198,7,0,36840,ABLI,Abraham Lincoln Birthplace NHP,2023
199,8,0,25286,ABLI,Abraham Lincoln Birthplace NHP,2023
200,9,0,26379,ABLI,Abraham Lincoln Birthplace NHP,2023
201,10,0,18366,ABLI,Abraham Lincoln Birthplace NHP,2023
202,11,0,10018,ABLI,Abraham Lincoln Birthplace NHP,2023
203,12,0,9089,ABLI,Abraham Lincoln Birthplace NHP,2023
204,1,0,8420,ABLI,Abraham Lincoln Birthplace NHP,2024
205,2,0,10208,ABLI,Abraham Lincoln Birthplace NHP,2024
206,3,0,17282,ABLI,Abraham Lincoln Birthplace NHP,2024
207,4,0,26666,ABLI,Abraham Lincoln Birthplace NHP,2024
208,5,0,25300,ABLI,Abraham Lincoln Birthplace NHP,2024
209,6,0,29515,ABLI,Abraham Lincoln Birthplace NHP,2024
210,1,600,12415,ACAD,Acadia NP,2007
211,2,600,11068,ACAD,Acadia NP,2007
212,3,600,19220,ACAD,Acadia NP,2007
213,4,600,61775,ACAD,Acadia NP,2007
214,5,7500,132152,ACAD,Acadia NP,2007
215,6,7500,273765,ACAD,Acadia NP,2007
216,7,7500,461894,ACAD,Acadia NP,2007
217,8,7500,544892,ACAD,Acadia NP,2007
218,9,7500,371217,ACAD,Acadia NP,2007
219,10,6000,263311,ACAD,Acadia NP,2007
220,11,600,41449,ACAD,Acadia NP,2007
221,12,600,9070,ACAD,Acadia NP,2007
222,1,600,10744,ACAD,Acadia NP,2008
223,2,600,11131,ACAD,Acadia NP,2008
224,3,600,17489,ACAD,Acadia NP,2008
225,4,600,53798,ACAD,Acadia NP,2008
226,5,7500,125679,ACAD,Acadia NP,2008
227,6,7500,263542,ACAD,Acadia NP,2008
228,7,7500,470295,ACAD,Acadia NP,2008
229,8,7500,514443,ACAD,Acadia NP,2008
230,9,7500,319582,ACAD,Acadia NP,2008
231,10,6000,246533,ACAD,Acadia NP,2008
232,11,600,32759,ACAD,Acadia NP,2008
233,12,600,9862,ACAD,Acadia NP,2008
234,1,600,9366,ACAD,Acadia NP,2009
235,2,600,9751,ACAD,Acadia NP,2009
236,3,600,19258,ACAD,Acadia NP,2009
237,4,600,59277,ACAD,Acadia NP,2009
238,5,7500,129885,ACAD,Acadia NP,2009
239,6,7500,244780,ACAD,Acadia NP,2009
240,7,7500,457622,ACAD,Acadia NP,2009
241,8,7500,586446,ACAD,Acadia NP,2009
242,9,7500,399789,ACAD,Acadia NP,2009
243,10,6000,258007,ACAD,Acadia NP,2009
244,11,600,44042,ACAD,Acadia NP,2009
245,12,600,9475,ACAD,Acadia NP,2009
246,1,600,10510,ACAD,Acadia NP,2010
247,2,600,13398,ACAD,Acadia NP,2010
248,3,600,26080,ACAD,Acadia NP,2010
249,4,600,57992,ACAD,Acadia NP,2010
250,5,7500,169898,ACAD,Acadia NP,2010
251,6,7500,286635,ACAD,Acadia NP,2010
252,7,7500,545382,ACAD,Acadia NP,2010
253,8,7500,627918,ACAD,Acadia NP,2010
254,9,7500,431001,ACAD,Acadia NP,2010
255,10,6000,289114,ACAD,Acadia NP,2010
256,11,600,36736,ACAD,Acadia NP,2010
257,12,600,9544,ACAD,Acadia NP,2010
258,1,600,10428,ACAD,Acadia NP,2011
259,2,600,9533,ACAD,Acadia NP,2011
260,3,600,19510,ACAD,Acadia NP,2011
261,4,600,58307,ACAD,Acadia NP,2011
262,5,7500,132720,ACAD,Acadia NP,2011
263,6,7500,297222,ACAD,Acadia NP,2011
264,7,7500,559892,ACAD,Acadia NP,2011
265,8,7500,583153,ACAD,Acadia NP,2011
266,9,7500,387868,ACAD,Acadia NP,2011
267,10,6000,270477,ACAD,Acadia NP,2011
268,11,600,34192,ACAD,Acadia NP,2011
269,12,600,11343,ACAD,Acadia NP,2011
270,1,600,11930,ACAD,Acadia NP,2012
271,2,600,12388,ACAD,Acadia NP,2012
272,3,600,22684,ACAD,Acadia NP,2012
273,4,600,59471,ACAD,Acadia NP,2012
274,5,7500,157406,ACAD,Acadia NP,2012
275,6,7500,309198,ACAD,Acadia NP,2012
276,7,7500,539234,ACAD,Acadia NP,2012
277,8,7500,574307,ACAD,Acadia NP,2012
278,9,7500,391810,ACAD,Acadia NP,2012
279,10,6000,302932,ACAD,Acadia NP,2012
280,11,600,38385,ACAD,Acadia NP,2012
281,12,600,11307,ACAD,Acadia NP,2012
282,1,600,11249,ACAD,Acadia NP,2013
283,2,600,9869,ACAD,Acadia NP,2013
284,3,600,20631,ACAD,Acadia NP,2013
285,4,600,47090,ACAD,Acadia NP,2013
286,5,7500,133653,ACAD,Acadia NP,2013
287,6,7500,315791,ACAD,Acadia NP,2013
288,7,7500,555308,ACAD,Acadia NP,2013
289,8,7500,617306,ACAD,Acadia NP,2013
290,9,7500,400400,ACAD,Acadia NP,2013
291,10,6000,94904,ACAD,Acadia NP,2013
292,11,600,41181,ACAD,Acadia NP,2013
293,12,600,7540,ACAD,Acadia NP,2013
294,1,600,10459,ACAD,Acadia NP,2014
295,2,600,10258,ACAD,Acadia NP,2014
296,3,600,17502,ACAD,Acadia NP,2014
297,4,600,57211,ACAD,Acadia NP,2014
298,5,7500,153013,ACAD,Acadia NP,2014
299,6,7500,338845,ACAD,Acadia NP,2014
300,7,7500,561073,ACAD,Acadia NP,2014
301,8,7500,638152,ACAD,Acadia NP,2014
302,9,7500,418173,ACAD,Acadia NP,2014
303,10,6000,313920,ACAD,Acadia NP,2014
304,11,600,31013,ACAD,Acadia NP,2014
305,12,600,13510,ACAD,Acadia NP,2014
306,1,600,12578,ACAD,Acadia NP,2015
307,2,600,10626,ACAD,Acadia NP,2015
308,3,600,18062,ACAD,Acadia NP,2015
309,4,600,63214,ACAD,Acadia NP,2015
310,5,7500,187205,ACAD,Acadia NP,2015
311,6,7500,359661,ACAD,Acadia NP,2015
312,7,7500,606597,ACAD,Acadia NP,2015
313,8,7500,666767,ACAD,Acadia NP,2015
314,9,7500,479320,ACAD,Acadia NP,2015
315,10,6000,344362,ACAD,Acadia NP,2015
316,11,600,48912,ACAD,Acadia NP,2015
317,12,600,13880,ACAD,Acadia NP,2015
318,1,600,17204,ACAD,Acadia NP,2016
319,2,600,16530,ACAD,Acadia NP,2016
320,3,600,28121,ACAD,Acadia NP,2016
321,4,600,94199,ACAD,Acadia NP,2016
322,5,7500,217147,ACAD,Acadia NP,2016
323,6,7500,445410,ACAD,Acadia NP,2016
324,7,7500,696854,ACAD,Acadia NP,2016
325,8,7500,735945,ACAD,Acadia NP,2016
326,9,7500,570434,ACAD,Acadia NP,2016
327,10,6000,412416,ACAD,Acadia NP,2016
328,11,600,55022,ACAD,Acadia NP,2016
329,12,600,14111,ACAD,Acadia NP,2016
330,1,600,15520,ACAD,Acadia NP,2017
331,2,600,14342,ACAD,Acadia NP,2017
332,3,600,20936,ACAD,Acadia NP,2017
333,4,600,85267,ACAD,Acadia NP,2017
334,5,7500,222978,ACAD,Acadia NP,2017
335,6,7500,476191,ACAD,Acadia NP,2017
336,7,7500,743529,ACAD,Acadia NP,2017
337,8,7500,762436,ACAD,Acadia NP,2017
338,9,7500,595388,ACAD,Acadia NP,2017
339,10,6000,507594,ACAD,Acadia NP,2017
340,11,600,53006,ACAD,Acadia NP,2017
341,12,600,12084,ACAD,Acadia NP,2017
342,1,600,11974,ACAD,Acadia NP,2018
343,2,600,12167,ACAD,Acadia NP,2018
344,3,600,23756,ACAD,Acadia NP,2018
345,4,600,72858,ACAD,Acadia NP,2018
346,5,7500,249050,ACAD,Acadia NP,2018
347,6,7500,499163,ACAD,Acadia NP,2018
348,7,7500,759165,ACAD,Acadia NP,2018
349,8,7500,767219,ACAD,Acadia NP,2018
350,9,7500,600397,ACAD,Acadia NP,2018
351,10,6000,488204,ACAD,Acadia NP,2018
352,11,600,40930,ACAD,Acadia NP,2018
353,12,600,12692,ACAD,Acadia NP,2018
354,1,600,8532,ACAD,Acadia NP,2019
355,2,600,9154,ACAD,Acadia NP,2019
356,3,600,20161,ACAD,Acadia NP,2019
357,4,600,68046,ACAD,Acadia NP,2019
358,5,7500,226156,ACAD,Acadia NP,2019
359,6,7500,490720,ACAD,Acadia NP,2019
360,7,7500,756439,ACAD,Acadia NP,2019
361,8,7500,759735,ACAD,Acadia NP,2019
362,9,7500,603273,ACAD,Acadia NP,2019
363,10,6000,436194,ACAD,Acadia NP,2019
364,11,600,46011,ACAD,Acadia NP,2019
365,12,600,12865,ACAD,Acadia NP,2019
366,1,600,12640,ACAD,Acadia NP,2020
367,2,600,13459,ACAD,Acadia NP,2020
368,3,600,28539,ACAD,Acadia NP,2020
369,4,600,55713,ACAD,Acadia NP,2020
370,5,7500,103120,ACAD,Acadia NP,2020
371,6,7500,201156,ACAD,Acadia NP,2020
372,7,7500,493971,ACAD,Acadia NP,2020
373,8,7500,681746,ACAD,Acadia NP,2020
374,9,7500,500320,ACAD,Acadia NP,2020
375,10,6000,480859,ACAD,Acadia NP,2020
376,11,600,76251,ACAD,Acadia NP,2020
377,12,600,21260,ACAD,Acadia NP,2020
378,1,600,20268,ACAD,Acadia NP,2021
379,2,600,16123,ACAD,Acadia NP,2021
380,3,600,38060,ACAD,Acadia NP,2021
381,4,600,110096,ACAD,Acadia NP,2021
382,5,7500,324654,ACAD,Acadia NP,2021
383,6,7500,661919,ACAD,Acadia NP,2021
384,7,7500,782146,ACAD,Acadia NP,2021
385,8,7500,795437,ACAD,Acadia NP,2021
386,9,7500,667301,ACAD,Acadia NP,2021
387,10,6000,557624,ACAD,Acadia NP,2021
388,11,600,81089,ACAD,Acadia NP,2021
389,12,600,14381,ACAD,Acadia NP,2021
390,1,600,10411,ACAD,Acadia NP,2022
391,2,600,13045,ACAD,Acadia NP,2022
392,3,600,22476,ACAD,Acadia NP,2022
393,4,600,105126,ACAD,Acadia NP,2022
394,5,7500,327466,ACAD,Acadia NP,2022
395,6,7500,603023,ACAD,Acadia NP,2022
396,7,7500,791358,ACAD,Acadia NP,2022
397,8,7500,785236,ACAD,Acadia NP,2022
398,9,7500,697292,ACAD,Acadia NP,2022
399,10,6000,521646,ACAD,Acadia NP,2022
400,11,600,70675,ACAD,Acadia NP,2022
401,12,600,22506,ACAD,Acadia NP,2022
402,1,600,15217,ACAD,Acadia NP,2023
403,2,600,15281,ACAD,Acadia NP,2023
404,3,600,30822,ACAD,Acadia NP,2023
405,4,600,102928,ACAD,Acadia NP,2023
406,5,7500,340425,ACAD,Acadia NP,2023
407,6,7500,566535,ACAD,Acadia NP,2023
408,7,7500,767956,ACAD,Acadia NP,2023
409,8,7500,774296,ACAD,Acadia NP,2023
410,9,7500,643506,ACAD,Acadia NP,2023
411,10,6000,541067,ACAD,Acadia NP,2023
412,11,600,66987,ACAD,Acadia NP,2023
413,12,600,14870,ACAD,Acadia NP,2023
414,1,600,15538,ACAD,Acadia NP,2024
415,2,600,14071,ACAD,Acadia NP,2024
416,3,600,25696,ACAD,Acadia NP,2024
417,4,600,95165,ACAD,Acadia NP,2024
418,5,7500,320885,ACAD,Acadia NP,2024
419,6,7500,599015,ACAD,Acadia NP,2024
420,1,169,2856,ADAM,Adams NHP,2007
421,2,188,4465,ADAM,Adams NHP,2007
422,3,150,5531,ADAM,Adams NHP,2007
423,4,163,15336,ADAM,Adams NHP,2007
424,5,269,23526,ADAM,Adams NHP,2007
425,6,298,27088,ADAM,Adams NHP,2007
426,7,234,42449,ADAM,Adams NHP,2007
427,8,315,29040,ADAM,Adams NHP,2007
428,9,196,31686,ADAM,Adams NHP,2007
429,10,270,32030,ADAM,Adams NHP,2007
430,11,167,8351,ADAM,Adams NHP,2007
431,12,195,2522,ADAM,Adams NHP,2007
432,1,173,2830,ADAM,Adams NHP,2008
433,2,190,4193,ADAM,Adams NHP,2008
434,3,160,4988,ADAM,Adams NHP,2008
435,4,85,18180,ADAM,Adams NHP,2008
436,5,218,28095,ADAM,Adams NHP,2008
437,6,350,39967,ADAM,Adams NHP,2008
438,7,375,46898,ADAM,Adams NHP,2008
439,8,232,35725,ADAM,Adams NHP,2008
440,9,565,27429,ADAM,Adams NHP,2008
441,10,750,25596,ADAM,Adams NHP,2008
442,11,400,6170,ADAM,Adams NHP,2008
443,12,100,1465,ADAM,Adams NHP,2008
444,1,70,759,ADAM,Adams NHP,2009
445,2,109,761,ADAM,Adams NHP,2009
446,3,107,1047,ADAM,Adams NHP,2009
447,4,138,19919,ADAM,Adams NHP,2009
448,5,170,27989,ADAM,Adams NHP,2009
449,6,438,36689,ADAM,Adams NHP,2009
450,7,0,24006,ADAM,Adams NHP,2009
451,8,650,33650,ADAM,Adams NHP,2009
452,9,750,21508,ADAM,Adams NHP,2009
453,10,875,74642,ADAM,Adams NHP,2009
454,11,100,11486,ADAM,Adams NHP,2009
455,12,100,1200,ADAM,Adams NHP,2009
456,1,0,193,ADAM,Adams NHP,2010
457,2,100,227,ADAM,Adams NHP,2010
458,3,115,366,ADAM,Adams NHP,2010
459,4,144,3840,ADAM,Adams NHP,2010
460,5,370,11267,ADAM,Adams NHP,2010
461,6,350,15031,ADAM,Adams NHP,2010
462,7,375,17078,ADAM,Adams NHP,2010
463,8,115,11406,ADAM,Adams NHP,2010
464,9,225,11905,ADAM,Adams NHP,2010
465,10,0,0,ADAM,Adams NHP,2010
466,11,40,2026,ADAM,Adams NHP,2010
467,12,0,0,ADAM,Adams NHP,2010
468,1,125,0,ADAM,Adams NHP,2011
469,2,140,0,ADAM,Adams NHP,2011
470,3,125,0,ADAM,Adams NHP,2011
471,4,400,2163,ADAM,Adams NHP,2011
472,5,300,17956,ADAM,Adams NHP,2011
473,6,300,21920,ADAM,Adams NHP,2011
474,7,310,25810,ADAM,Adams NHP,2011
475,8,310,55826,ADAM,Adams NHP,2011
476,9,130,44112,ADAM,Adams NHP,2011
477,10,120,38912,ADAM,Adams NHP,2011
478,11,115,13276,ADAM,Adams NHP,2011
479,12,100,0,ADAM,Adams NHP,2011
480,1,135,0,ADAM,Adams NHP,2012
